,Revenue,Company Name,parsed_sector,states,parsed_type_of_ownership,Industry,parsed_job_title,parsed_founded,Rating,description_length,Size,per_hour_salary_jobs,fixed_salary_jobs,average_salary
0,,Facebook,Unknown / Non-Applicable,Remote,IT Services,Information Technology,"data scientist, analytics-remote presence",,4.5,501,501 to 1000 Employees,0,1,60000.0
1,$10+ billion (USD),Pacific Northwest National Laboratory,Retail,WA,Subsidiary or Business Segment,General Merchandise & Superstores,data scientist,1983.0,3.3,914,10000+ Employees,0,1,118000.0
2,Unknown / Non-Applicable,Juno College of Technology,Government,Remote,Government,Federal Agencies,"part-time content creator, data",1862.0,3.7,633,10000+ Employees,0,1,141000.0
3,Unknown / Non-Applicable,Facebook,Education,Remote,School / School District,Education Training Services,"data engineer, product analytics",2012.0,3.8,1122,1 to 50 Employees,1,0,199680.0
4,$10+ billion (USD),KesarWeb,Retail,LA,Company - Public,General Merchandise & Superstores,junior data scientist,1994.0,3.3,977,10000+ Employees,0,1,90000.0
5,$10+ billion (USD),Toyota,Manufacturing,TX,Company - Public,Transportation Equipment Manufacturing,junior data scientist,1957.0,3.9,853,10000+ Employees,1,0,140400.0
6,$10+ billion (USD),TransUnion,Manufacturing,OR,Company - Public,Transportation Equipment Manufacturing,data engineer,1957.0,3.9,853,10000+ Employees,1,0,140400.0
7,$1 to $2 billion (USD),Identical Soft,Finance,WA,Company - Public,Financial Analytics & Research,data scientist,1968.0,4.0,828,5001 to 10000 Employees,1,0,140400.0
8,Unknown / Non-Applicable,Microsoft,Information Technology,WA,Company - Private,Enterprise Software & Network Solutions,data & applied scientist,2013.0,4.5,554,51 to 200 Employees,1,0,140400.0
9,$10+ billion (USD),Allstate,Information Technology,IL,Company - Public,Computer Hardware & Software,avail - staff data scientist (remote home based worker),1975.0,4.4,810,10000+ Employees,1,0,140400.0
10,$10+ billion (USD),Interview Query,Insurance,Remote,Company - Public,Insurance Agencies & Brokerages,data science content developer,1931.0,3.5,760,10000+ Employees,1,0,140400.0
11,$10+ billion (USD),Ovintiv,Information Technology,TX,Company - Public,Internet,data analytics engineer,1998.0,4.5,1007,10000+ Employees,1,0,140400.0
12,Unknown / Non-Applicable,Microsoft,"Oil, Gas, Energy & Utilities",,Company - Public,Oil & Gas Exploration & Production,content developer 1,2002.0,3.3,679,1001 to 5000 Employees,1,0,140400.0
13,$10+ billion (USD),Pivosys Inc.,Information Technology,CA,Company - Public,Computer Hardware & Software,python developer -with data science experience,1975.0,4.4,840,10000+ Employees,1,0,140400.0
14,$500 million to $1 billion (USD),Envision,"Oil, Gas, Energy & Utilities",CA,Government,Energy,data scientist with statistics focus – entry level,1965.0,4.1,681,1001 to 5000 Employees,1,0,140400.0
15,$10+ billion (USD),Netflix,Information Technology,CA,Company - Public,Internet,"manager, studio production data science and engineering",1994.0,3.8,3130,10000+ Employees,1,0,140400.0
16,$5 to $10 billion (USD),Specific Diagnostics,Information Technology,CA,Company - Public,Internet,data scientist/data analysis,1997.0,4.2,991,5001 to 10000 Employees,1,0,140400.0
17,Unknown / Non-Applicable,Microsoft,Government,WA,Government,State & Regional Agencies,data scientist ii,1796.0,3.6,264,10000+ Employees,1,0,140400.0
18,$10+ billion (USD),Arizona State University,Information Technology,AZ,Company - Public,Computer Hardware & Software,director of data science,1975.0,4.4,1131,10000+ Employees,1,0,140400.0
