,Revenue,Job Title,Location,Company Name,Rating,Size,Sector,Founded,Salary Estimate,Type of Ownership,Job Description,Industry
0,$25 to $50 million (USD),Science Data Engineer - HRC0002250,"Baltimore, MD",Space Telescope Science Institute,3.7,501 to 1000 Employees,Education,1981,$64K - $122K (Glassdoor est.),Company - Private,"The Space Telescope Science Institute (STScI) has an immediate opportunity for an experienced and hands on Science Data Engineer to join our talented Data Management Division (DMD). STScI is the science operations center for several NASA missions and the DMD is responsible for a multi-petabyte astronomical data archive, the Mikulski Archive for Space Telescope (MAST), which maintains the Hubble Space Telescope (HST), Kelper, GALEX and TESS mission data. It will maintain mission data for the future James Webb Space Telescope(JWST), launching in 2021 and Nancy Grace Roman Space Telescope (Roman), launching in 2026.
You will be leading or involved in design and implementing data management solutions for finding stars and galaxies in the universe. Your responsibility as the Science Data Engineer will be to design and develop solutions for data archiving, catalog data searching, implement and optimize data systems. Your duties may include preparing science data ingestion, maintaining the existing database system, developing new data solution for handling large scale dataset.
You know how to examine new data system requirements and standard methodologies of data management. The ideal candidate has experience in handling large data lakes involving RDBMS and NOSQL solutions. You have excellent analytical and problem-solving abilities.",Colleges & Universities
1,$10+ billion (USD),"Vice President, Data Science Practice Lead","Boston, MA",Fidelity Investments,3.7,501 to 1000 Employees,Finance,1981,$89K - $171K (Glassdoor est.),,"The Space Telescope Science Institute (STScI) has an immediate opportunity for an experienced and hands on Science Data Engineer to join our talented Data Management Division (DMD). STScI is the science operations center for several NASA missions and the DMD is responsible for a multi-petabyte astronomical data archive, the Mikulski Archive for Space Telescope (MAST), which maintains the Hubble Space Telescope (HST), Kelper, GALEX and TESS mission data. It will maintain mission data for the future James Webb Space Telescope(JWST), launching in 2021 and Nancy Grace Roman Space Telescope (Roman), launching in 2026.
You will be leading or involved in design and implementing data management solutions for finding stars and galaxies in the universe. Your responsibility as the Science Data Engineer will be to design and develop solutions for data archiving, catalog data searching, implement and optimize data systems. Your duties may include preparing science data ingestion, maintaining the existing database system, developing new data solution for handling large scale dataset.
You know how to examine new data system requirements and standard methodologies of data management. The ideal candidate has experience in handling large data lakes involving RDBMS and NOSQL solutions. You have excellent analytical and problem-solving abilities.",Investment Banking & Asset Management
2,$10+ billion (USD),Data Analyst,"Orlando, FL","InnovaCare Partners, LLC",4.3,10000+ Employees,Finance,1946,$89K - $171K (Glassdoor est.),Company - Private,"Job Description:
Fidelity Personal Investing is seeking a Data Science Practice Lead with a strong publication record and extensive experience in Natural Language Processing (NLP), integrating Computational Linguistics, modern Deep Learning, and Computer Vision technologies.
This position will be based full time in Boston, MA.
The Team
Fidelity Personal Investing is seeking a top level NLP data scientist to join the Personal Investing AI and Data Science Center of Excellence (CoE). Our CoE is a team of data scientists in the US and India employing a wide array of AI and data science techniques such as NLP, deep learning, machine learning, causal inference, predictive analytics, experimental design, and optimization to solve a wide variety of business problems ranging from business-to-consumer (B2C), business-to-business (B2B), to quality control, operations management, and automation.


We believe that the most effective way to attract, develop and retain a diverse workforce is to build an enduring culture of inclusion and belonging.",Investment Banking & Asset Management
3,,Data Analyst,"Olathe, KS",Sperry Rail Inc.,,,,,$42K - $82K (Glassdoor est.),,"It's fun to work in a company where people truly BELIEVE in what they're doing!
We're committed to bringing passion and customer focus to the business.
Reporting to the InnovaCare Partners Director of Informatics, the Data Analyst will be responsible for creating reports and the analysis of data. The position is also responsible for research, collection, analysis and presentation of the practice’s utilization and financial data. Must have the ability to work with multiple departments within the organization in an effort to coordinate analytics to enhance operational efficiencies.
Duties and Responsibilities:
Consolidate and analyze population data (premium, eligibility, claims utilization etc.) taking into account company’s goals and financial goals
Provide creative alternatives to best organize and present data from all sources (third party payors, EMR and operational)",
4,Unknown / Non-Applicable,Client Success Associate,"Ewing, NJ",Keen Decision Systems,3.2,201 to 500 Employees,Transportation & Logistics,1928,$42K - $82K (Glassdoor est.),Company - Private,"Data Analyst I: Based in Olathe, Ks. This is an Overnight position!
Pay is $16 per hour with 20% differential for night work!
LOCAL APPLICANTS ONLY !! THERE IS NO RELOCATION!
SUMMARY OF POSITION:
To process and analyze computer generated test data from detector cars; generate test data audits in accordance to company / client specification; assist in maintaining departmental procedures; processing customer special requests; and to assist in other departmental requirements as needed.
Provide customer audit reports for violations in accordance with internal, client guidelines and procedures.",Rail
5,,People Analytics Specialist,"Santa Cruz, CA",Joby Aviation,4.1,51 to 200 Employees,,Company - Private,$57K - $112K (Glassdoor est.),Unknown / Non-Applicable,"Keen’s Decision System is an enterprise-level marketing software that helps FORTUNE 500 and other marketing leaders make data-driven decisions to help companies in achieving their future-focused business goals.
Keen has been listed on Inc. 5000’s Fastest-Growing Private Companies in America since 2019, climbing 913 places in 2020 to 2,308, with a three-year growth rate of nearly 182 percent.

Keen is seeking a Client Success Associate. This role is responsible for the onboarding and continual refresh of marketing models, working directly with client teams from project kick-off to solution implementation, while assisting clients in customizing the MIDA software to meet their precise business objectives.
This role will work collaboratively with the Keen Client Success Manager on specific brand projects and marketing analyses. The candidate will also be working alongside the customer data wranglers to build out accurate, brand-specific marketing models across a multi-CPG brand portfolio. In addition, this role will support client facing projects and presentations. Keen is looking for a motivated self-starter that is comfortable with fostering relationships with client brand teams and executives",
6,,Machine Learning Quality Assurance Lead,"Maplewood, MN",,4.1,51 to 200 Employees,,Company - Private,$57K - $112K (Glassdoor est.),Unknown / Non-Applicable,"Joby Overview: Located in Northern California, the Joby Aviation team has been steadily working toward our goal of providing safe, affordable, fully electric air transportation that is accessible to everyone. Imagine an air taxi that takes off vertically, then quietly and quickly carries you over the congestion below, giving you back that time you’d otherwise spend sitting in traffic. Technology has advanced to the point where designing and operating an all-electric aircraft is completely viable. Our team has been discreetly designing and flight testing this vehicle and is looking for talented individuals to see it through certification and high rate production. Overview:
As the People Analytics Specialist, you will tell a compelling story using data to present insights and trends in a consumable format for varying audiences. You will grow and maintain a suite of visual dashboards that enable data-driven decision-making for the People team and various company stakeholders. This position requires expert knowledge of Excel, and ideally proficiency with Tableau. A degree in data science or business analytics is preferred.

Responsibilities:
Required:

Desired:",
7,,Client Success Manager,"South Bend, IN",Aunalytics,,Unknown,,Company - Public,$36K - $70K (Glassdoor est.),Unknown / Non-Applicable,"Joby Overview: Located in Northern California, the Joby Aviation team has been steadily working toward our goal of providing safe, affordable, fully electric air transportation that is accessible to everyone. Imagine an air taxi that takes off vertically, then quietly and quickly carries you over the congestion below, giving you back that time you’d otherwise spend sitting in traffic. Technology has advanced to the point where designing and operating an all-electric aircraft is completely viable. Our team has been discreetly designing and flight testing this vehicle and is looking for talented individuals to see it through certification and high rate production. Overview:
As the People Analytics Specialist, you will tell a compelling story using data to present insights and trends in a consumable format for varying audiences. You will grow and maintain a suite of visual dashboards that enable data-driven decision-making for the People team and various company stakeholders. This position requires expert knowledge of Excel, and ideally proficiency with Tableau. A degree in data science or business analytics is preferred.

Responsibilities:
Required:

Desired:",
8,,"Data Analyst, Junior","Patuxent River, MD","Spalding Consulting, Inc.",,Unknown,,Company - Public,$36K - $70K (Glassdoor est.),Unknown / Non-Applicable,"Who We Are:
Aunalytics provides a leading-edge cloud platform, where businesses run their core applications on secure, high performance computing infrastructure, create integrated data-marts using enterprise analytics software, and gain on-demand access to technology and data science experts to develop algorithms that drive digital transformation.
Position Overview:
As a Client Success Manager, you will serve as the primary client liaison between external client contacts and our internal DataSolutions Team. You will be responsible for building and maintaining strong client relationships; serving as the day-to-day contact for all client inquiries (including set up and ongoing support). The work you do will ensure the timely and successful delivery of our solutions.",
9,$10+ billion (USD),"Genomics Research Scientist, Biomarker Development","Cambridge, MA",Novartis,4.0,201 to 500 Employees,,2001,$76K - $149K (Glassdoor est.),Company - Private,"Spalding Consulting, Inc. is seeking a Data Analyst, Junior in Patuxent River, Maryland. Spalding Consulting, Inc. is a professional services company delivering cutting-edge solutions to the Department of Defense since 2001. Our expert-level solutions include software development, information technology, program management, financial management and business intelligence services. Spalding Consulting offers competitive compensation, career development, flexible work schedules and excellent benefits.

Position Type: Full-Time
Work Site: Patuxent River, MD
Remote (see COVID-19 procedures below)

**COVID-19 Procedures: On-boarding will require 1-2 visits to Patuxent River, MD. Training will be virtual and telework maximized/permitted to the greatest extent possible, however training/tasking may require on-site work a few hours per week. Occasional evening/weekend on-site support for upgrades/patching is required. Future on-site/telework requirements/schedules may change as additional client direction is received.






Must be eligible to obtain a Secret clearance. Requirements to obtain a clearance include US Citizenship, security investigation, etc.


High School diploma or GED. Bachelor's degree preferred.

Spalding Consulting, Inc. is committed to providing equal employment opportunities to all applicants and employees. We will not discriminate against any employee or applicant on the basis of race, color, ethnic origin, national origin, creed, religion, political belief, sex (including pregnancy), sexual orientation, gender identity, marital status, age, military status, physical or mental disability, or any other legally protected basis, in accordance with applicable federal, state or local laws. Spalding Consulting, Inc. is an Affirmative Action/Equal Opportunity Employer and encourages minorities, women, disabled, and veterans to apply for job openings within our company.

INDSJ",Aerospace & Defense
