,Rating,Type of Ownership,Industry,Job Title,Location,Job Description,Size,Founded,Company Name,Salary Estimate,Revenue,Sector
0,3.8,Company - Private,Consulting,Instructional Data Science Design Consultant,"Highland, MD","Overview

Guidehouse is a leading global provider of consulting services to the public and commercial markets with broad capabilities in management, technology, and risk consulting. We help clients address their toughest challenges and navigate significant regulatory pressures with a focus on transformational change, business resiliency, and technology-driven innovation. Across a range of advisory, consulting, outsourcing, and digital services, we create scalable, innovative solutions that prepare our clients for future growth and success. The company has more than 10,000 professionals in over 50 locations globally. Guidehouse is a Veritas Capital portfolio company, led by seasoned professionals with proven and diverse expertise in traditional and emerging technologies, markets, and agenda-setting issues driving national and global economies. For more information, please visit: www.guidehouse.com.

Responsibilities

Our consultants on the Data Analytics team help clients maximize the value of their data. This high performing team helps clients implement advanced analytical techniques such as machine learning and artificial intelligence to define their information strategy, enable mission critical insights, reduce cost and complexity, increase trust, and improve operational effectiveness.",5001 to 10000 Employees,2018,Guidehouse,$79K - $155K (Glassdoor est.),Unknown / Non-Applicable,Business Services
1,3.8,Company - Private,Consulting,Data Science Developer,"New York, NY","Overview

Guidehouse is a leading global provider of consulting services to the public and commercial markets with broad capabilities in management, technology, and risk consulting. We help clients address their toughest challenges and navigate significant regulatory pressures with a focus on transformational change, business resiliency, and technology-driven innovation. Across a range of advisory, consulting, outsourcing, and digital services, we create scalable, innovative solutions that prepare our clients for future growth and success. The company has more than 10,000 professionals in over 50 locations globally. Guidehouse is a Veritas Capital portfolio company, led by seasoned professionals with proven and diverse expertise in traditional and emerging technologies, markets, and agenda-setting issues driving national and global economies. For more information, please visit: www.guidehouse.com.

Responsibilities

Our consultants on the Data Analytics team help clients maximize the value of their data. This high performing team helps clients implement advanced analytical techniques such as machine learning and artificial intelligence to define their information strategy, enable mission critical insights, reduce cost and complexity, increase trust, and improve operational effectiveness.",5001 to 10000 Employees,2018,Daley and Associates,$79K - $155K (Glassdoor est.),Unknown / Non-Applicable,Business Services
2,3.8,Company - Private,Research & Development,Data Science Analyst,"Lisle, IL","Overview

Guidehouse is a leading global provider of consulting services to the public and commercial markets with broad capabilities in management, technology, and risk consulting. We help clients address their toughest challenges and navigate significant regulatory pressures with a focus on transformational change, business resiliency, and technology-driven innovation. Across a range of advisory, consulting, outsourcing, and digital services, we create scalable, innovative solutions that prepare our clients for future growth and success. The company has more than 10,000 professionals in over 50 locations globally. Guidehouse is a Veritas Capital portfolio company, led by seasoned professionals with proven and diverse expertise in traditional and emerging technologies, markets, and agenda-setting issues driving national and global economies. For more information, please visit: www.guidehouse.com.

Responsibilities

Our consultants on the Data Analytics team help clients maximize the value of their data. This high performing team helps clients implement advanced analytical techniques such as machine learning and artificial intelligence to define their information strategy, enable mission critical insights, reduce cost and complexity, increase trust, and improve operational effectiveness.",5001 to 10000 Employees,2018,KANTAR,$59K - $109K (Glassdoor est.),Unknown / Non-Applicable,Business Services
3,3.4,Company - Private,Research & Development,Jr. Data Analyst,"San Diego, CA","We go beyond the obvious, using intelligence, passion and creativity to inspire new thinking and shape the world we live in.
To start a career that is out of the ordinary, please apply...
Job Details
At Kantar we have an integrated way of rewarding our people based around a simple, clear and consistent set of principles. Our approach helps to ensure we are market competitive and also to support a pay for performance culture, where your reward and career progression opportunities are linked to what you deliver.
We go beyond the obvious, using intelligence, passion and creativity to inspire new thinking and shape the world we live in. Apply for a career that’s out of the ordinary and join us.
Lisle, Warrenville RoadUnited States of America",1001 to 5000 Employees,1993,Reliant Funding,$59K - $109K (Glassdoor est.),Unknown / Non-Applicable,Business Services
4,3.7,Company - Private,Lending,"Partner Manager, Data Science Platforms","Natick, MA","Established in 2008, Reliant provides short term working capital for small and mid-sized businesses nationwide. Reliant has been named to the Inc. 500/5000 for 7 consecutive years and San Diego Business Journal’s 100 Fastest Growing Private Companies the past 7 years. Reliant is a leading alternative source for Small Business Funding, the 28th fastest growing Financial Services company in the United States.

We are currently seeking a Jr. Data Analyst to join our growing Data and Analytics team here at Reliant Funding. This candidate should have a knack for synthesizing information from multiple sources, developing assumptions, and using data analysis to draw conclusions. An ideal candidate has the strong communications skills required to succeed as part of a dynamic cross functional team.
Essential Duties and Responsibilities
Develop and create reports and presentations to communicate business insights for internal customers",51 to 200 Employees,2008,MathWorks,$82K - $154K (Glassdoor est.),Unknown / Non-Applicable,Finance
5,4.4,Company - Private,Computer Hardware & Software,Data Analyst,"Orlando, FL","MathWorks is looking for a strong, self-starter, technical Partner Manager to develop and execute global marketing and selling plans with its Cloud Data Science and Machine Learning platform partners.
The ideal candidate will have experience working with, and integrating with, cloud data science platforms and enterprise IT / AI platforms, to enable customers to use MATLAB and Simulink to effectively source data, build models and operationalize machine learning, predictive maintenance, and AI algorithms across their organization.
As an individual contributor on the team, this dynamic role will focus on: (a) developing and managing partner relationships, (b) designing and implementing technical marketing and selling plans and activities, and (c) analyzing results and impact and optimizing accordingly.
This person will be expected to work closely with Partners, and internal MathWorks teams such as Application Engineering, Technical Marketing, Product Development, Sales, and Marketing Communications. An important element of this role is to create links between working groups within the company and with the partners. For this reason, the candidate must possess leadership, excellent verbal, written, and presentation skills.",1001 to 5000 Employees,1984,"InnovaCare Partners, LLC",$82K - $154K (Glassdoor est.),$1 to $2 billion (USD),Information Technology
6,4.4,,,"Vice President, Data Science Practice Lead","Boston, MA","MathWorks is looking for a strong, self-starter, technical Partner Manager to develop and execute global marketing and selling plans with its Cloud Data Science and Machine Learning platform partners.
The ideal candidate will have experience working with, and integrating with, cloud data science platforms and enterprise IT / AI platforms, to enable customers to use MATLAB and Simulink to effectively source data, build models and operationalize machine learning, predictive maintenance, and AI algorithms across their organization.
As an individual contributor on the team, this dynamic role will focus on: (a) developing and managing partner relationships, (b) designing and implementing technical marketing and selling plans and activities, and (c) analyzing results and impact and optimizing accordingly.
This person will be expected to work closely with Partners, and internal MathWorks teams such as Application Engineering, Technical Marketing, Product Development, Sales, and Marketing Communications. An important element of this role is to create links between working groups within the company and with the partners. For this reason, the candidate must possess leadership, excellent verbal, written, and presentation skills.",1001 to 5000 Employees,1984,Fidelity Investments,$112K - $195K (Glassdoor est.),$10+ billion (USD),Finance
7,4.2,Company - Private,Investment Banking & Asset Management,Data Science Manager,"Lisle, IL","Job Description:
Fidelity Personal Investing is seeking a Data Science Practice Lead with a strong publication record and extensive experience in Natural Language Processing (NLP), integrating Computational Linguistics, modern Deep Learning, and Computer Vision technologies.
This position will be based full time in Boston, MA.
The Team
Fidelity Personal Investing is seeking a top level NLP data scientist to join the Personal Investing AI and Data Science Center of Excellence (CoE). Our CoE is a team of data scientists in the US and India employing a wide array of AI and data science techniques such as NLP, deep learning, machine learning, causal inference, predictive analytics, experimental design, and optimization to solve a wide variety of business problems ranging from business-to-consumer (B2C), business-to-business (B2B), to quality control, operations management, and automation.


We believe that the most effective way to attract, develop and retain a diverse workforce is to build an enduring culture of inclusion and belonging.",10000+ Employees,1946,KANTAR,$112K - $195K (Glassdoor est.),$10+ billion (USD),Finance
8,4.2,Company - Private,Investment Banking & Asset Management,Data Science Consultant,"Saint Louis, MO","Job Description:
Fidelity Personal Investing is seeking a Data Science Practice Lead with a strong publication record and extensive experience in Natural Language Processing (NLP), integrating Computational Linguistics, modern Deep Learning, and Computer Vision technologies.
This position will be based full time in Boston, MA.
The Team
Fidelity Personal Investing is seeking a top level NLP data scientist to join the Personal Investing AI and Data Science Center of Excellence (CoE). Our CoE is a team of data scientists in the US and India employing a wide array of AI and data science techniques such as NLP, deep learning, machine learning, causal inference, predictive analytics, experimental design, and optimization to solve a wide variety of business problems ranging from business-to-consumer (B2C), business-to-business (B2B), to quality control, operations management, and automation.


We believe that the most effective way to attract, develop and retain a diverse workforce is to build an enduring culture of inclusion and belonging.",10000+ Employees,1946,Accenture,$112K - $195K (Glassdoor est.),$10+ billion (USD),Finance
9,4.2,Company - Private,Consulting,Data Science Programmer,"McLean, VA","Job Description:
Fidelity Personal Investing is seeking a Data Science Practice Lead with a strong publication record and extensive experience in Natural Language Processing (NLP), integrating Computational Linguistics, modern Deep Learning, and Computer Vision technologies.
This position will be based full time in Boston, MA.
The Team
Fidelity Personal Investing is seeking a top level NLP data scientist to join the Personal Investing AI and Data Science Center of Excellence (CoE). Our CoE is a team of data scientists in the US and India employing a wide array of AI and data science techniques such as NLP, deep learning, machine learning, causal inference, predictive analytics, experimental design, and optimization to solve a wide variety of business problems ranging from business-to-consumer (B2C), business-to-business (B2B), to quality control, operations management, and automation.


We believe that the most effective way to attract, develop and retain a diverse workforce is to build an enduring culture of inclusion and belonging.",10000+ Employees,1946,Peraton,$64K - $134K (Glassdoor est.),$5 to $10 billion (USD),Information Technology
