,Salary Estimate,Founded,Company Name,Job Title,Job Description,Rating,Revenue,Sector,Size,Industry,Type of Ownership,Location
0,Employer Provided Salary:$29 - $34 Per Hour,,Nova Collective,Data Analyst,"Are you a data analyst who is really excited about finding new ways to quantify, qualify, and present data about diversity, equity, and inclusion in top organizations?
Can you speak to the perils and pitfalls of data analysis in human sciences - especially as it relates to DEI?
Are you extremely detail-oriented and methodical in your approach - not someone who rushes to find a shortcut and loses the benefits of outlying or unusual data?
Are you prepared and excited to help build out our data capabilities in Qualtrics?
Interested in a part-time (10-30 hours a week), flexible, remote role?
Do you bring a strong background in survey data principles, such as:
Working with raw survey data to produce clean data sets for analysis and reporting",,,,,,,"Chicago, IL"
1,Employer Provided Salary:$29 - $34 Per Hour,,CBL Solutions,Data Science - Entry Level,"Are you a data analyst who is really excited about finding new ways to quantify, qualify, and present data about diversity, equity, and inclusion in top organizations?
Can you speak to the perils and pitfalls of data analysis in human sciences - especially as it relates to DEI?
Are you extremely detail-oriented and methodical in your approach - not someone who rushes to find a shortcut and loses the benefits of outlying or unusual data?
Are you prepared and excited to help build out our data capabilities in Qualtrics?
Interested in a part-time (10-30 hours a week), flexible, remote role?
Do you bring a strong background in survey data principles, such as:
Working with raw survey data to produce clean data sets for analysis and reporting",,,,,,,"Lawrenceville, NJ"
2,Employer Provided Salary:$60K,Company - Private,PCS Global Tech,Data Science Opportunities/ Entry Level for Recent Graduates STEM,,4.5,,Unknown / Non-Applicable,501 to 1000 Employees,Information Technology,IT Services,"Irvine, CA"
3,Employer Provided Salary:$60K,Company - Private,RMDS Lab,Data Scientist for GRMDS.org,"Responsibilities:
· Provides plan with data, reporting and analyses that enable data driven decision making.
· Provides summary analyses in written and oral presentation settings.
· Builds database from scratch. And prepares complex presentations.
· Develops system test cases and documents results, researches system issues and documents findings.
Requirements:
· Bachelor’s degree in Science, Technology, Engineering or Mathematics
· Ability to translate business requirements into non-technical, lay terms",4.5,,Unknown / Non-Applicable,501 to 1000 Employees,Information Technology,IT Services,"Pasadena, CA"
4,Employer Provided Salary:$56K - $118K,,Titan America,Junior Data Scientist,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns and insights that will help our company and our clients. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company and our clients analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",,,,,,,"Roanoke, VA"
5,,1902,Toyota Connected North America,Entry Level Data Scientist,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns and insights that will help our company and our clients. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company and our clients analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",4.4,Unknown / Non-Applicable,Information Technology,1001 to 5000 Employees,IT Services,Company - Private,"Plano, TX"
6,,2016,Capgemini,Entry Level Data Engineer - September Start Date,"Toyota Connected's Mobility team is responsible for building and managing our connected vehicle platforms, supporting product research using vehicle sensor data and creating new and exciting data services for Toyota customers that makes driving safer, more convenient, and fun. We're looking for an Entry Level Data Scientist interested in using data science and statistical techniques to create state-of-the-art solutions for non-trivial, and arguably, unsolved problems. If you are results driven, interested in how to apply advanced Data Science techniques, would love to work with vehicle telemetry data and video, are highly innovative and long for the opportunity to build solutions for challenging problems that directly impact the company's bottom-line, we want to talk to you.
What will you be doing?
You will have the opportunity to work in a fast-paced Agile Scrum environment to assist in prototyping, designing, and implementing predictive models and algorithms to create real world solutions",3.3,Unknown / Non-Applicable,Information Technology,51 to 200 Employees,IT Services,Company - Private,"New York, NY"
7,,2016,Dataspace,110: Head of Data Science,"Toyota Connected's Mobility team is responsible for building and managing our connected vehicle platforms, supporting product research using vehicle sensor data and creating new and exciting data services for Toyota customers that makes driving safer, more convenient, and fun. We're looking for an Entry Level Data Scientist interested in using data science and statistical techniques to create state-of-the-art solutions for non-trivial, and arguably, unsolved problems. If you are results driven, interested in how to apply advanced Data Science techniques, would love to work with vehicle telemetry data and video, are highly innovative and long for the opportunity to build solutions for challenging problems that directly impact the company's bottom-line, we want to talk to you.
What will you be doing?
You will have the opportunity to work in a fast-paced Agile Scrum environment to assist in prototyping, designing, and implementing predictive models and algorithms to create real world solutions",3.3,Unknown / Non-Applicable,Information Technology,51 to 200 Employees,IT Services,Company - Private,"New York, NY"
8,,1967,First Soft Solutions [ Direct],Azure Data Engineer,"Travel/Relocation: Must be open to both
Start date: September 20th

Working at Capgemini:

Are you interested in working in a high-tech global consulting firm focused on digital transformations and tech solution implementations? We are looking for a goal oriented compassionate person who can work in a fast-paced environment. Due to our rapid growth we are looking to hire a motivated person who is excited to take the next steps with Capgemini.",3.8,$10+ billion (USD),Information Technology,10000+ Employees,Enterprise Software & Network Solutions,Company - Public,"Plano, TX"
9,Employer Provided Salary:$58 - $67 Per Hour,1967,Urbane Systems LLC,Data Scientist,"Travel/Relocation: Must be open to both
Start date: September 20th

Working at Capgemini:

Are you interested in working in a high-tech global consulting firm focused on digital transformations and tech solution implementations? We are looking for a goal oriented compassionate person who can work in a fast-paced environment. Due to our rapid growth we are looking to hire a motivated person who is excited to take the next steps with Capgemini.",3.8,,,10000+ Employees,Enterprise Software & Network Solutions,Company - Public,"Sterling, VA"
10,Employer Provided Salary:$58 - $67 Per Hour,,Health Data Analytics Institute,"Data Analyst, Population Health","Responsibilities
Prepare data science business cases while working with domain experts and customers. Support defining the AI strategy within a federal government agency.
Independently develops customized algorithms to solve analytical problems with incomplete data sets and implements automated processes for efficiently producing scale models.
Independently conducts statistical modelling, machine learning modelling and experiment design, and tests and validates predictive models.
Perform statistical analysis, data mining, temporal and pattern analysis, correlation of events, predictive modelling, and pattern recognition.
Document and visualize analytics both temporally and spatially, and present analytic results and uncertainty to decision makers.",,,,,,,"Dedham, MA"
11,Employer Provided Salary:$110K - $140K,,Citi,"Entry-Level Data Positions (Data Engineer, Machine Learning & Visualization)","Data Analyst, Population Health
HDAI is a well-funded, high-growth, and ambitious startup that is using artificial intelligence to provide clinical and operational guidance that supports population health and clinical decision-making. We are partnering with premier health systems to deploy actionable AI, with a particular focus on delivering insights that support population health initiatives.
We are looking for a statistically savvy, technically adept Data Analyst, Population Health to conduct analyses and develop visualizations with data derived from one of healthcare’s largest data sets. This data scientist will work closely with our research, product, and sales teams to deliver understandable, actionable, and compelling insights.
Key responsibilities",,,,,,,"Irving, TX"
12,,1989,Accenture,Data Science Specialist,"Citi Consumer Technology is seeking dozens of talented entry-level engineers for its Data & Analytics organization, based in Dallas, Texas, and Jacksonville, Fla.
We work with a variety of technologies and are hiring across multiple teams, including Visualization, Data Engineering & Machine Learning Engineering. You’ll find more information below on our roles, our interview process, and our commitment to your growth and development.
Applications are accepted year-round, with multiple start dates organized around orientation trainings.
Our Organization
The best way to think about Citi Consumer Technology is that we’re a tech company inside a bank. We develop software that has a variety of end users: mobile apps and websites that help our customers manage their money, desktop software that allows our customer service agents to provide help and advice, and internal databases, microservices or tools that teams at Citi rely upon every day.
Technology
Digital Software Engineering",,$10+ billion (USD),Business Services,10000+ Employees,Consulting,Company - Public,"Atlanta Central City Post Offi, GA"
