,Sector,Company Name,Size,Location,Rating,Job Description,Type of Ownership,Industry,Salary Estimate,Founded,Job Title,Revenue
0,,Nova Collective,,"Chicago, IL",,"Are you a data analyst who is really excited about finding new ways to quantify, qualify, and present data about diversity, equity, and inclusion in top organizations?
Can you speak to the perils and pitfalls of data analysis in human sciences - especially as it relates to DEI?
Are you extremely detail-oriented and methodical in your approach - not someone who rushes to find a shortcut and loses the benefits of outlying or unusual data?
Are you prepared and excited to help build out our data capabilities in Qualtrics?
Interested in a part-time (10-30 hours a week), flexible, remote role?
Do you bring a strong background in survey data principles, such as:
Working with raw survey data to produce clean data sets for analysis and reporting",,,Employer Provided Salary:$29 - $34 Per Hour,,Data Analyst,
1,,PCS Global Tech,,"Irvine, CA",,"Are you a data analyst who is really excited about finding new ways to quantify, qualify, and present data about diversity, equity, and inclusion in top organizations?
Can you speak to the perils and pitfalls of data analysis in human sciences - especially as it relates to DEI?
Are you extremely detail-oriented and methodical in your approach - not someone who rushes to find a shortcut and loses the benefits of outlying or unusual data?
Are you prepared and excited to help build out our data capabilities in Qualtrics?
Interested in a part-time (10-30 hours a week), flexible, remote role?
Do you bring a strong background in survey data principles, such as:
Working with raw survey data to produce clean data sets for analysis and reporting",,,Employer Provided Salary:$29 - $34 Per Hour,,Data Science Opportunities/ Entry Level for Recent Graduates STEM,
2,,CBL Solutions,1 to 50 Employees,"Lawrenceville, NJ",4.5,"Are you a data analyst who is really excited about finding new ways to quantify, qualify, and present data about diversity, equity, and inclusion in top organizations?
Can you speak to the perils and pitfalls of data analysis in human sciences - especially as it relates to DEI?
Are you extremely detail-oriented and methodical in your approach - not someone who rushes to find a shortcut and loses the benefits of outlying or unusual data?
Are you prepared and excited to help build out our data capabilities in Qualtrics?
Interested in a part-time (10-30 hours a week), flexible, remote role?
Do you bring a strong background in survey data principles, such as:
Working with raw survey data to produce clean data sets for analysis and reporting",Unknown / Non-Applicable,,Employer Provided Salary:$38 Per Hour,Private Practice / Firm,Data Science - Entry Level,
3,,Titan America,1 to 50 Employees,"Roanoke, VA",2.4,"Role - Data Science - Entry Level
Location - NJ
Experience - Fresher
Data Scientist Skills:
Statistics.
At least one programming language – R/ Python.
Data Extraction, Transformation, and Loading.
Data Wrangling and Data Exploration.
Machine Learning Algorithms.
Advanced Machine Learning (Deep Learning)",Unknown / Non-Applicable,,Employer Provided Salary:$38 Per Hour,Private Practice / Firm,Junior Data Scientist,
4,,RMDS Lab,,"Pasadena, CA",4.4,"Role - Data Science - Entry Level
Location - NJ
Experience - Fresher
Data Scientist Skills:
Statistics.
At least one programming language – R/ Python.
Data Extraction, Transformation, and Loading.
Data Wrangling and Data Exploration.
Machine Learning Algorithms.
Advanced Machine Learning (Deep Learning)",,,Employer Provided Salary:$56K - $118K,,Data Scientist for GRMDS.org,
5,,Toyota Connected North America,,"Plano, TX",,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns and insights that will help our company and our clients. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company and our clients analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",,,Employer Provided Salary:$56K - $118K,,Entry Level Data Scientist,
6,Information Technology,Dataspace,1 to 50 Employees,"New York, NY",4.0,,Company - Private,IT Services,Employer Provided Salary:$200K - $250K,1994,110: Head of Data Science,$5 to $10 million (USD)
7,Information Technology,Capgemini,1 to 50 Employees,"New York, NY",4.0,"We’re helping a rapidly growing fintech startup build out their data science capabilities. One of the roles they’ve asked us to help fill is this Head of Data Science. Because the company’s business plan is built on understanding their customers and their data, this role is central to the organization’s success.

This company grew from 60 to 100 employees last year... during the pandemic! They're on a steep upward trajectory. Can you help them achieve their goal of making their digital banking and lending platform a core tool that helps everyone make financial progress? If so, please submit your resume and fill out our questionnaire ASAP!

THE WORK: This is a beefy and critical role that will require you to contribute in a number of ways, including:
Overseeing a team of data scientists, and expanding that team further",Company - Private,IT Services,Employer Provided Salary:$200K - $250K,1994,Entry Level Data Engineer - September Start Date,$5 to $10 million (USD)
8,,Urbane Systems LLC,,"Sterling, VA",3.8,"We’re helping a rapidly growing fintech startup build out their data science capabilities. One of the roles they’ve asked us to help fill is this Head of Data Science. Because the company’s business plan is built on understanding their customers and their data, this role is central to the organization’s success.

This company grew from 60 to 100 employees last year... during the pandemic! They're on a steep upward trajectory. Can you help them achieve their goal of making their digital banking and lending platform a core tool that helps everyone make financial progress? If so, please submit your resume and fill out our questionnaire ASAP!

THE WORK: This is a beefy and critical role that will require you to contribute in a number of ways, including:
Overseeing a team of data scientists, and expanding that team further",,,Employer Provided Salary:$58 - $67 Per Hour,,Data Scientist,
9,,First Soft Solutions [ Direct],,"Plano, TX",,"Responsibilities
Prepare data science business cases while working with domain experts and customers. Support defining the AI strategy within a federal government agency.
Independently develops customized algorithms to solve analytical problems with incomplete data sets and implements automated processes for efficiently producing scale models.
Independently conducts statistical modelling, machine learning modelling and experiment design, and tests and validates predictive models.
Perform statistical analysis, data mining, temporal and pattern analysis, correlation of events, predictive modelling, and pattern recognition.
Document and visualize analytics both temporally and spatially, and present analytic results and uncertainty to decision makers.",,,Employer Provided Salary:$58 - $67 Per Hour,,Azure Data Engineer,
