,Salary Estimate,Sector,Rating,Company Name,Revenue,Job Title,Founded,Type of Ownership,Location,Size,Industry,Job Description
0,Employer Provided Salary:$29 - $34 Per Hour,,,Nova Collective,,Data Analyst,,,"Chicago, IL",,,"Are you a data analyst who is really excited about finding new ways to quantify, qualify, and present data about diversity, equity, and inclusion in top organizations?
Can you speak to the perils and pitfalls of data analysis in human sciences - especially as it relates to DEI?
Are you extremely detail-oriented and methodical in your approach - not someone who rushes to find a shortcut and loses the benefits of outlying or unusual data?
Are you prepared and excited to help build out our data capabilities in Qualtrics?
Interested in a part-time (10-30 hours a week), flexible, remote role?
Do you bring a strong background in survey data principles, such as:
Working with raw survey data to produce clean data sets for analysis and reporting"
1,Employer Provided Salary:$29 - $34 Per Hour,,,PCS Global Tech,,Data Science Opportunities/ Entry Level for Recent Graduates STEM,,,"Irvine, CA",,,"Are you a data analyst who is really excited about finding new ways to quantify, qualify, and present data about diversity, equity, and inclusion in top organizations?
Can you speak to the perils and pitfalls of data analysis in human sciences - especially as it relates to DEI?
Are you extremely detail-oriented and methodical in your approach - not someone who rushes to find a shortcut and loses the benefits of outlying or unusual data?
Are you prepared and excited to help build out our data capabilities in Qualtrics?
Interested in a part-time (10-30 hours a week), flexible, remote role?
Do you bring a strong background in survey data principles, such as:
Working with raw survey data to produce clean data sets for analysis and reporting"
2,Employer Provided Salary:$60K,Unknown / Non-Applicable,4.5,CBL Solutions,,Data Science - Entry Level,Company - Private,IT Services,"Lawrenceville, NJ",501 to 1000 Employees,Information Technology,"Responsibilities:
· Provides plan with data, reporting and analyses that enable data driven decision making.
· Provides summary analyses in written and oral presentation settings.
· Builds database from scratch. And prepares complex presentations.
· Develops system test cases and documents results, researches system issues and documents findings.
Requirements:
· Bachelor’s degree in Science, Technology, Engineering or Mathematics
· Ability to translate business requirements into non-technical, lay terms"
3,Employer Provided Salary:$38 Per Hour,,2.4,Titan America,,Junior Data Scientist,Private Practice / Firm,Unknown / Non-Applicable,"Roanoke, VA",1 to 50 Employees,,
4,Employer Provided Salary:$38 Per Hour,,2.4,Dataspace,,110: Head of Data Science,Private Practice / Firm,Unknown / Non-Applicable,"New York, NY",1 to 50 Employees,,"Role - Data Science - Entry Level
Location - NJ
Experience - Fresher
Data Scientist Skills:
Statistics.
At least one programming language – R/ Python.
Data Extraction, Transformation, and Loading.
Data Wrangling and Data Exploration.
Machine Learning Algorithms.
Advanced Machine Learning (Deep Learning)"
5,,Information Technology,3.3,Toyota Connected North America,Unknown / Non-Applicable,Entry Level Data Scientist,2016,Company - Private,"Plano, TX",51 to 200 Employees,IT Services,"We’re helping a rapidly growing fintech startup build out their data science capabilities. One of the roles they’ve asked us to help fill is this Head of Data Science. Because the company’s business plan is built on understanding their customers and their data, this role is central to the organization’s success.

This company grew from 60 to 100 employees last year... during the pandemic! They're on a steep upward trajectory. Can you help them achieve their goal of making their digital banking and lending platform a core tool that helps everyone make financial progress? If so, please submit your resume and fill out our questionnaire ASAP!

THE WORK: This is a beefy and critical role that will require you to contribute in a number of ways, including:
Overseeing a team of data scientists, and expanding that team further"
6,,Information Technology,3.3,Capgemini,Unknown / Non-Applicable,Entry Level Data Engineer - September Start Date,2016,Company - Private,"New York, NY",51 to 200 Employees,IT Services,"Toyota Connected's Mobility team is responsible for building and managing our connected vehicle platforms, supporting product research using vehicle sensor data and creating new and exciting data services for Toyota customers that makes driving safer, more convenient, and fun. We're looking for an Entry Level Data Scientist interested in using data science and statistical techniques to create state-of-the-art solutions for non-trivial, and arguably, unsolved problems. If you are results driven, interested in how to apply advanced Data Science techniques, would love to work with vehicle telemetry data and video, are highly innovative and long for the opportunity to build solutions for challenging problems that directly impact the company's bottom-line, we want to talk to you.
What will you be doing?
You will have the opportunity to work in a fast-paced Agile Scrum environment to assist in prototyping, designing, and implementing predictive models and algorithms to create real world solutions"
7,,Information Technology,3.8,RMDS Lab,$10+ billion (USD),Data Scientist for GRMDS.org,1967,Company - Public,"Pasadena, CA",10000+ Employees,Enterprise Software & Network Solutions,"Toyota Connected's Mobility team is responsible for building and managing our connected vehicle platforms, supporting product research using vehicle sensor data and creating new and exciting data services for Toyota customers that makes driving safer, more convenient, and fun. We're looking for an Entry Level Data Scientist interested in using data science and statistical techniques to create state-of-the-art solutions for non-trivial, and arguably, unsolved problems. If you are results driven, interested in how to apply advanced Data Science techniques, would love to work with vehicle telemetry data and video, are highly innovative and long for the opportunity to build solutions for challenging problems that directly impact the company's bottom-line, we want to talk to you.
What will you be doing?
You will have the opportunity to work in a fast-paced Agile Scrum environment to assist in prototyping, designing, and implementing predictive models and algorithms to create real world solutions"
8,Employer Provided Salary:$58 - $67 Per Hour,,,Urbane Systems LLC,,Data Scientist,,,"Sterling, VA",,,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns and insights that will help our company and our clients. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company and our clients analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns"
9,Employer Provided Salary:$58 - $67 Per Hour,,,Accenture,,Data Science Specialist,,,"Atlanta Central City Post Offi, GA",,,"Responsibilities
Prepare data science business cases while working with domain experts and customers. Support defining the AI strategy within a federal government agency.
Independently develops customized algorithms to solve analytical problems with incomplete data sets and implements automated processes for efficiently producing scale models.
Independently conducts statistical modelling, machine learning modelling and experiment design, and tests and validates predictive models.
Perform statistical analysis, data mining, temporal and pattern analysis, correlation of events, predictive modelling, and pattern recognition.
Document and visualize analytics both temporally and spatially, and present analytic results and uncertainty to decision makers."
