,Company Name,Rating,Sector,Size,Job Description,Industry,Job Title,Revenue,Type of Ownership,Salary Estimate,Founded,Location
0,Guidehouse,3.8,Business Services,5001 to 10000 Employees,"Overview

Guidehouse is a leading global provider of consulting services to the public and commercial markets with broad capabilities in management, technology, and risk consulting. We help clients address their toughest challenges and navigate significant regulatory pressures with a focus on transformational change, business resiliency, and technology-driven innovation. Across a range of advisory, consulting, outsourcing, and digital services, we create scalable, innovative solutions that prepare our clients for future growth and success. The company has more than 10,000 professionals in over 50 locations globally. Guidehouse is a Veritas Capital portfolio company, led by seasoned professionals with proven and diverse expertise in traditional and emerging technologies, markets, and agenda-setting issues driving national and global economies. For more information, please visit: www.guidehouse.com.

Responsibilities

Our consultants on the Data Analytics team help clients maximize the value of their data. This high performing team helps clients implement advanced analytical techniques such as machine learning and artificial intelligence to define their information strategy, enable mission critical insights, reduce cost and complexity, increase trust, and improve operational effectiveness.",Consulting,Instructional Data Science Design Consultant,Unknown / Non-Applicable,Company - Private,$79K - $155K (Glassdoor est.),2018,"Highland, MD"
1,Daley and Associates,,Business Services,1 to 50 Employees,"Overview

Guidehouse is a leading global provider of consulting services to the public and commercial markets with broad capabilities in management, technology, and risk consulting. We help clients address their toughest challenges and navigate significant regulatory pressures with a focus on transformational change, business resiliency, and technology-driven innovation. Across a range of advisory, consulting, outsourcing, and digital services, we create scalable, innovative solutions that prepare our clients for future growth and success. The company has more than 10,000 professionals in over 50 locations globally. Guidehouse is a Veritas Capital portfolio company, led by seasoned professionals with proven and diverse expertise in traditional and emerging technologies, markets, and agenda-setting issues driving national and global economies. For more information, please visit: www.guidehouse.com.

Responsibilities

Our consultants on the Data Analytics team help clients maximize the value of their data. This high performing team helps clients implement advanced analytical techniques such as machine learning and artificial intelligence to define their information strategy, enable mission critical insights, reduce cost and complexity, increase trust, and improve operational effectiveness.",Staffing & Outsourcing,Data Science Developer,$10 to $25 million (USD),Company - Private,,2005,"New York, NY"
2,KANTAR,3.6,Business Services,1 to 50 Employees,"Data Science Developer | Technology – New York, NY
We are currently seeking candidates for a Data Science Developer position located in New York, NY 10104. This role is with a cutting-edge data analytics company. The ideal candidate will have 5+ years backend software development experience. The Data Science Developer will primarily be responsible for enhancing the development of a machine learning algorithm that matches similar items from a complex data pool. Candidates are 100% **REMOTE** will be considered for hire.
This role is a full-time permanent position that will pay a salary of $160K.
Requirements:
B.S./B.A. in IT, Computer Science, or Data Engineering
Clojure (3+ years), MySQL, programming language experience.",Staffing & Outsourcing,Data Science Analyst,$10 to $25 million (USD),Company - Private,,2005,"Lisle, IL"
3,Reliant Funding,3.4,Business Services,1001 to 5000 Employees,"We go beyond the obvious, using intelligence, passion and creativity to inspire new thinking and shape the world we live in.
To start a career that is out of the ordinary, please apply...
Job Details
At Kantar we have an integrated way of rewarding our people based around a simple, clear and consistent set of principles. Our approach helps to ensure we are market competitive and also to support a pay for performance culture, where your reward and career progression opportunities are linked to what you deliver.
We go beyond the obvious, using intelligence, passion and creativity to inspire new thinking and shape the world we live in. Apply for a career that’s out of the ordinary and join us.
Lisle, Warrenville RoadUnited States of America",Research & Development,Jr. Data Analyst,Unknown / Non-Applicable,Company - Private,$59K - $109K (Glassdoor est.),1993,"San Diego, CA"
4,MathWorks,3.4,Business Services,1001 to 5000 Employees,"We go beyond the obvious, using intelligence, passion and creativity to inspire new thinking and shape the world we live in.
To start a career that is out of the ordinary, please apply...
Job Details
At Kantar we have an integrated way of rewarding our people based around a simple, clear and consistent set of principles. Our approach helps to ensure we are market competitive and also to support a pay for performance culture, where your reward and career progression opportunities are linked to what you deliver.
We go beyond the obvious, using intelligence, passion and creativity to inspire new thinking and shape the world we live in. Apply for a career that’s out of the ordinary and join us.
Lisle, Warrenville RoadUnited States of America",Research & Development,"Partner Manager, Data Science Platforms",Unknown / Non-Applicable,Company - Private,$49K - $91K (Glassdoor est.),1993,"Natick, MA"
5,"InnovaCare Partners, LLC",4.4,Information Technology,1001 to 5000 Employees,"MathWorks is looking for a strong, self-starter, technical Partner Manager to develop and execute global marketing and selling plans with its Cloud Data Science and Machine Learning platform partners.
The ideal candidate will have experience working with, and integrating with, cloud data science platforms and enterprise IT / AI platforms, to enable customers to use MATLAB and Simulink to effectively source data, build models and operationalize machine learning, predictive maintenance, and AI algorithms across their organization.
As an individual contributor on the team, this dynamic role will focus on: (a) developing and managing partner relationships, (b) designing and implementing technical marketing and selling plans and activities, and (c) analyzing results and impact and optimizing accordingly.
This person will be expected to work closely with Partners, and internal MathWorks teams such as Application Engineering, Technical Marketing, Product Development, Sales, and Marketing Communications. An important element of this role is to create links between working groups within the company and with the partners. For this reason, the candidate must possess leadership, excellent verbal, written, and presentation skills.",Computer Hardware & Software,Data Analyst,$1 to $2 billion (USD),Company - Private,$82K - $154K (Glassdoor est.),1984,"Orlando, FL"
6,KANTAR,3.4,Business Services,1001 to 5000 Employees,"It's fun to work in a company where people truly BELIEVE in what they're doing!
We're committed to bringing passion and customer focus to the business.
Reporting to the InnovaCare Partners Director of Informatics, the Data Analyst will be responsible for creating reports and the analysis of data. The position is also responsible for research, collection, analysis and presentation of the practice’s utilization and financial data. Must have the ability to work with multiple departments within the organization in an effort to coordinate analytics to enhance operational efficiencies.
Duties and Responsibilities:
Consolidate and analyze population data (premium, eligibility, claims utilization etc.) taking into account company’s goals and financial goals
Provide creative alternatives to best organize and present data from all sources (third party payors, EMR and operational)",Research & Development,Data Science Manager,Unknown / Non-Applicable,Company - Private,$72K - $134K (Glassdoor est.),1993,"Lisle, IL"
7,Peraton,3.4,Business Services,1001 to 5000 Employees,"We go beyond the obvious, using intelligence, passion and creativity to inspire new thinking and shape the world we live in.
To start a career that is out of the ordinary, please apply...
Job Details
At Kantar we have an integrated way of rewarding our people based around a simple, clear and consistent set of principles. Our approach helps to ensure we are market competitive and also to support a pay for performance culture, where your reward and career progression opportunities are linked to what you deliver.
We go beyond the obvious, using intelligence, passion and creativity to inspire new thinking and shape the world we live in. Apply for a career that’s out of the ordinary and join us.
Lisle, Warrenville RoadUnited States of America",Research & Development,Data Science Programmer,Unknown / Non-Applicable,Company - Private,$72K - $134K (Glassdoor est.),1993,"McLean, VA"
8,Accenture,3.4,Business Services,,"We go beyond the obvious, using intelligence, passion and creativity to inspire new thinking and shape the world we live in.
To start a career that is out of the ordinary, please apply...
Job Details
At Kantar we have an integrated way of rewarding our people based around a simple, clear and consistent set of principles. Our approach helps to ensure we are market competitive and also to support a pay for performance culture, where your reward and career progression opportunities are linked to what you deliver.
We go beyond the obvious, using intelligence, passion and creativity to inspire new thinking and shape the world we live in. Apply for a career that’s out of the ordinary and join us.
Lisle, Warrenville RoadUnited States of America",Consulting,Data Science Consultant,$10+ billion (USD),Company - Public,$60K - $115K (Glassdoor est.),1989,"Saint Louis, MO"
9,Fidelity Investments,4.1,Business Services,10000+ Employees,"We are:
Applied Intelligence, the people who love using data to tell a story. We’re also the world’s largest team of data scientists, data engineers, and experts in machine learning and AI. A great day for us Solving big problems using the latest tech, serious brain power, and deep knowledge of just about every industry. We believe a mix of data, analytics, automation, and responsible AI can do almost anything—spark digital metamorphoses, widen the range of what humans can do, and breathe life into smart products and services. Want to join our crew of sharp analytical minds Visit us here to find out more about Applied Intelligence.
You are:
A data pro with serious analytical and statistical chops. You know how to take massive amounts of data and find the insights our clients need to help their companies do more.
The work:
Use statistics, data mining, machine learning, and deep learning techniques to deliver data-driven insights for our clients",Consulting,"Vice President, Data Science Practice Lead",$10+ billion (USD),Company - Public,$60K - $115K (Glassdoor est.),1989,"Boston, MA"
10,EQUITAS Life Sciences,,,,,,Strategy Consultant,,,$78K - $90K (Glassdoor est.),,"Essex, VT"
11,Vibrent Health,3.3,Information Technology,51 to 200 Employees,"EQUITAS is a life science strategy, insight, and technology company founded on the values of kindness, fearlessness, and empowerment with the mission of improving healthcare globally. Our Headquarters is located in Essex, VT. EQUITAS fosters a dynamic team with an unprecedented level of internal collaboration; allowing for a supportive and connected environment where each individual has a voice and contributes to the success of the team. This unique setting provides endless opportunities to engage professionals looking to pursue a career in healthcare, all within a guided space.
EQUITAS's unique approach to achieving our mission creates opportunities across traditional strategy management consulting, software engineering, data science and graphic design roles - offering an all-encompassing experience tailored to your interests and skillset in a fast-paced, fun and supportive environment. Although our team comes from a diverse set of backgrounds, we all share a common passion for supporting people and our culture, find inspiration in tackling the unknown, and continue to be motived by a desire to learn, adapt, and evolve within the ever changing global healthcare environment.",Enterprise Software & Network Solutions,"Data Engineer – Fairfax, VA",Unknown / Non-Applicable,Company - Private,$81K - $152K (Glassdoor est.),2008,"Fairfax, VA"
