,Founded,Revenue,Location,Job Title,Rating,Company Name,Size,Type of Ownership,Industry,Sector,Salary Estimate,Job Description
0,,,"Chicago, IL",Data Analyst,,Nova Collective,,,,,Employer Provided Salary:$29 - $34 Per Hour,"Are you a data analyst who is really excited about finding new ways to quantify, qualify, and present data about diversity, equity, and inclusion in top organizations?
Can you speak to the perils and pitfalls of data analysis in human sciences - especially as it relates to DEI?
Are you extremely detail-oriented and methodical in your approach - not someone who rushes to find a shortcut and loses the benefits of outlying or unusual data?
Are you prepared and excited to help build out our data capabilities in Qualtrics?
Interested in a part-time (10-30 hours a week), flexible, remote role?
Do you bring a strong background in survey data principles, such as:
Working with raw survey data to produce clean data sets for analysis and reporting"
1,Company - Private,,"Irvine, CA",Data Science Opportunities/ Entry Level for Recent Graduates STEM,4.5,PCS Global Tech,501 to 1000 Employees,IT Services,Information Technology,Unknown / Non-Applicable,Employer Provided Salary:$60K,"Are you a data analyst who is really excited about finding new ways to quantify, qualify, and present data about diversity, equity, and inclusion in top organizations?
Can you speak to the perils and pitfalls of data analysis in human sciences - especially as it relates to DEI?
Are you extremely detail-oriented and methodical in your approach - not someone who rushes to find a shortcut and loses the benefits of outlying or unusual data?
Are you prepared and excited to help build out our data capabilities in Qualtrics?
Interested in a part-time (10-30 hours a week), flexible, remote role?
Do you bring a strong background in survey data principles, such as:
Working with raw survey data to produce clean data sets for analysis and reporting"
2,Company - Private,,"Lawrenceville, NJ",Data Science - Entry Level,4.5,CBL Solutions,501 to 1000 Employees,IT Services,Information Technology,Unknown / Non-Applicable,Employer Provided Salary:$60K,"Responsibilities:
· Provides plan with data, reporting and analyses that enable data driven decision making.
· Provides summary analyses in written and oral presentation settings.
· Builds database from scratch. And prepares complex presentations.
· Develops system test cases and documents results, researches system issues and documents findings.
Requirements:
· Bachelor’s degree in Science, Technology, Engineering or Mathematics
· Ability to translate business requirements into non-technical, lay terms"
3,1902,Unknown / Non-Applicable,"Roanoke, VA",Junior Data Scientist,4.4,Titan America,1001 to 5000 Employees,Company - Public,Mining,Mining & Metals,Employer Provided Salary:$66K,"Responsibilities:
· Provides plan with data, reporting and analyses that enable data driven decision making.
· Provides summary analyses in written and oral presentation settings.
· Builds database from scratch. And prepares complex presentations.
· Develops system test cases and documents results, researches system issues and documents findings.
Requirements:
· Bachelor’s degree in Science, Technology, Engineering or Mathematics
· Ability to translate business requirements into non-technical, lay terms"
4,1902,Unknown / Non-Applicable,"New York, NY",110: Head of Data Science,4.4,Dataspace,1001 to 5000 Employees,Company - Public,Mining,Mining & Metals,Employer Provided Salary:$66K,"Titan America, LLC, is a leading environmentally and socially progressive heavy building materials company located in the eastern United States. Titan America is part of the TITAN Group, an independent, multi-regional producer of cement and other related building materials. Our products include cement, aggregate, ready-mixed concrete and fly ash beneficiation. TITAN Group has a record of continuous growth since its establishment in 1902. It has expanded its production and distribution operations into 13 countries, employing more than 5,500 people. Our products protect human life and personal property, improve the quality of life, generate economic prosperity and connect society.
Titan Mid-Atlantic has an opening for a Junior Data Scientist for its Titan America operation location in Roanoke, VA. This hourly position will report directly to the Director of Process Improvement.
Responsibilities:
Selecting features, building, and optimizing classifiers using machine learning techniques"
5,,,"Pasadena, CA",Data Scientist for GRMDS.org,,RMDS Lab,,,,,Employer Provided Salary:$56K - $118K,"Titan America, LLC, is a leading environmentally and socially progressive heavy building materials company located in the eastern United States. Titan America is part of the TITAN Group, an independent, multi-regional producer of cement and other related building materials. Our products include cement, aggregate, ready-mixed concrete and fly ash beneficiation. TITAN Group has a record of continuous growth since its establishment in 1902. It has expanded its production and distribution operations into 13 countries, employing more than 5,500 people. Our products protect human life and personal property, improve the quality of life, generate economic prosperity and connect society.
Titan Mid-Atlantic has an opening for a Junior Data Scientist for its Titan America operation location in Roanoke, VA. This hourly position will report directly to the Director of Process Improvement.
Responsibilities:
Selecting features, building, and optimizing classifiers using machine learning techniques"
6,,,"Sterling, VA",Data Scientist,,Urbane Systems LLC,,,,,Employer Provided Salary:$58 - $67 Per Hour,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns and insights that will help our company and our clients. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company and our clients analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns"
7,,,"New York, NY",Entry Level Data Engineer - September Start Date,,Capgemini,,,,,,"Responsibilities
Prepare data science business cases while working with domain experts and customers. Support defining the AI strategy within a federal government agency.
Independently develops customized algorithms to solve analytical problems with incomplete data sets and implements automated processes for efficiently producing scale models.
Independently conducts statistical modelling, machine learning modelling and experiment design, and tests and validates predictive models.
Perform statistical analysis, data mining, temporal and pattern analysis, correlation of events, predictive modelling, and pattern recognition.
Document and visualize analytics both temporally and spatially, and present analytic results and uncertainty to decision makers."
8,1967,$10+ billion (USD),"Plano, TX",Entry Level Data Scientist,3.8,Toyota Connected North America,10000+ Employees,Company - Public,Enterprise Software & Network Solutions,Information Technology,,"Travel/Relocation: Must be open to both
Start date: September 20th

Working at Capgemini:

Are you interested in working in a high-tech global consulting firm focused on digital transformations and tech solution implementations? We are looking for a goal oriented compassionate person who can work in a fast-paced environment. Due to our rapid growth we are looking to hire a motivated person who is excited to take the next steps with Capgemini."
9,1967,$10+ billion (USD),"Plano, TX",Azure Data Engineer,3.8,First Soft Solutions [ Direct],10000+ Employees,Company - Public,Enterprise Software & Network Solutions,Information Technology,,"Travel/Relocation: Must be open to both
Start date: September 20th

Working at Capgemini:

Are you interested in working in a high-tech global consulting firm focused on digital transformations and tech solution implementations? We are looking for a goal oriented compassionate person who can work in a fast-paced environment. Due to our rapid growth we are looking to hire a motivated person who is excited to take the next steps with Capgemini."
10,Company - Private,,"Washington, DC",SAS Data Scientist,,FAAZ Consulting,201 to 500 Employees,Unknown / Non-Applicable,,,Employer Provided Salary:$87 - $106 Per Hour,"Toyota Connected's Mobility team is responsible for building and managing our connected vehicle platforms, supporting product research using vehicle sensor data and creating new and exciting data services for Toyota customers that makes driving safer, more convenient, and fun. We're looking for an Entry Level Data Scientist interested in using data science and statistical techniques to create state-of-the-art solutions for non-trivial, and arguably, unsolved problems. If you are results driven, interested in how to apply advanced Data Science techniques, would love to work with vehicle telemetry data and video, are highly innovative and long for the opportunity to build solutions for challenging problems that directly impact the company's bottom-line, we want to talk to you.
What will you be doing?
You will have the opportunity to work in a fast-paced Agile Scrum environment to assist in prototyping, designing, and implementing predictive models and algorithms to create real world solutions"
