,Revenue,Company Name,Sector,Salary Estimate,Location,Type of Ownership,Industry,Job Title,Founded,Rating,Job Description,Size
0,$10+ billion (USD),Microsoft,Information Technology,,United States,Company - Public,Computer Hardware & Software,Delivery Data Science IC3,1975,4.4,"OVERVIEW:

Are you ready to seize and opportunity to build advanced Artificial Intelligence (AI) and Machine Learning (ML) solutions leveraging the robust capabilities of the Microsoft Azure cloud? Do you thrive on taking a customer’s vision from brainstorming on a white board to operational capability that drives Digital Transformation? If so, then the Data Scientist role in Microsoft Consulting is the right career for you!

Microsoft Federal Consulting Services is dedicated to delivering on Microsoft’s mission to empower every person and every organization on the planet to achieve more. Our diverse team includes architects, data scientists, consultants, sales, and business leaders who serve our Federal government customer, including organizations in the Intelligence Community, National Security, Defense and Federal civilian agencies.

At Microsoft, we share knowledge, experiences, and resources to help each other achieve our career goals and grow both professionally and personally. We seek out people from diverse backgrounds who exhibit passion, technical competence, and experience in services delivery with complex projects or environments. Experience in this role will provide great opportunities to interact with pre-release versions, collaborate with product development teams and improve future versions of Microsoft products as a subject matter expert.",10000+ Employees
1,$10+ billion (USD),Amer Technology In,Information Technology,,"Austin, TX",Company - Public,Computer Hardware & Software,Data Scientist,1975,4.4,"OVERVIEW:

Are you ready to seize and opportunity to build advanced Artificial Intelligence (AI) and Machine Learning (ML) solutions leveraging the robust capabilities of the Microsoft Azure cloud? Do you thrive on taking a customer’s vision from brainstorming on a white board to operational capability that drives Digital Transformation? If so, then the Data Scientist role in Microsoft Consulting is the right career for you!

Microsoft Federal Consulting Services is dedicated to delivering on Microsoft’s mission to empower every person and every organization on the planet to achieve more. Our diverse team includes architects, data scientists, consultants, sales, and business leaders who serve our Federal government customer, including organizations in the Intelligence Community, National Security, Defense and Federal civilian agencies.

At Microsoft, we share knowledge, experiences, and resources to help each other achieve our career goals and grow both professionally and personally. We seek out people from diverse backgrounds who exhibit passion, technical competence, and experience in services delivery with complex projects or environments. Experience in this role will provide great opportunities to interact with pre-release versions, collaborate with product development teams and improve future versions of Microsoft products as a subject matter expert.",10000+ Employees
2,,Newsly Technologies,,Employer Provided Salary:$72 - $77 Per Hour,United States,,,Data Scientist,,,"Data Scientist Roles and Responsibilities
1. Accomplish the assigned activities and deliverables within project scope and schedule;
2. Lead focus group sessions or other information gathering sessions as needed, with active participation from subject matter experts and other stakeholders;
3. Work collaboratively with System Agency staff;
4. Escalate barriers and other issues to HHSC OIG as appropriate, immediately escalating concerns that may result in project implementation delays or increased costs;
5. Review, acknowledge in writing, and maintain consistent compliance with HHSC OIG’s applicable computer usage, security, privacy, confidentiality and non-disclosure policies;",
3,,Facebook,,Employer Provided Salary:$150K,Remote,,,"Data Scientist, Analytics",,,"Company description
Newsly is an audio news and content aggregator mobile application. It picks up the web articles about the most trending subjects on the web at any given moment and and reads it to you in a natural human voice using AI technology. For the first time in the history of the internet, the web becomes listenable!
Think of it as a new browser, but this time the audio is at the forefront.
It will give people suffering from dyslexia and people with visual impairments a new and better way to consume content. It is also meant for the general audio lovers who listen to spoken audio (podcasts, audio-books) an option to listen to topical content.
It is also targeting general audiophiles who consume spoken audio content (podcasts, audio-books) in a market growing at 30% a year. BTW, we got podcasts as well, so you don't have to switch to another app.",
4,$10+ billion (USD),Denken Solutions Inc,Information Technology,,"Irvine, CA",Company - Public,Internet,Data Science (100% Remote),2004,4.3,"As a Data Scientist at Facebook, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By applying your technical skills, analytical mindset, and product intuition to one of the richest data sets in the world, you will help define the experiences we build for billions of people and hundreds of millions of businesses around the world. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Research, Data Engineering, Marketing, Sales, Finance and others. You will use data and analysis to identify and solve product development’s biggest challenges. You will influence product strategy and investment decisions with data, be focused on impact, and collaborate with other teams. By joining Facebook, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the products we build bring value to people, businesses, and Facebook. You will help your partner teams prioritize what to build, set goals, and understand their product’s ecosystem.Analytics: You will guide teams using data and insights. You will focus on developing hypotheses and employ a diverse toolkit of rigorous analytical approaches, different methodologies, frameworks, and technical approaches to test them.Communication and influence: You won’t simply present data, but tell data-driven stories. You will convince and influence your partners using clear insights and recommendations. You will build credibility through structure and clarity, and be a trusted strategic partner.
#LI-REMOTE",10000+ Employees
5,$25 to $50 million (USD),Nova Collective,Information Technology,,"Chicago, IL",Company - Private,IT Services,Data Analyst,2010,4.2,"Role: Data Science

Location: Remote

Duration: contract ( W2 jobs)



Technology: Python Coding, SQL Database/Coding, Machine Learning and AI.

Experience: 2 to 6 years",201 to 500 Employees
6,,McKinsey & Company,,Employer Provided Salary:$29 - $34 Per Hour,,,,Junior Data Engineer - QuantumBlack,,,"Are you a data analyst who is really excited about finding new ways to quantify, qualify, and present data about diversity, equity, and inclusion in top organizations?
Can you speak to the perils and pitfalls of data analysis in human sciences - especially as it relates to DEI?
Are you extremely detail-oriented and methodical in your approach - not someone who rushes to find a shortcut and loses the benefits of outlying or unusual data?
Are you prepared and excited to help build out our data capabilities in Qualtrics?
Interested in a part-time (10-30 hours a week), flexible, remote role?
Do you bring a strong background in survey data principles, such as:
Working with raw survey data to produce clean data sets for analysis and reporting",
7,Unknown / Non-Applicable,Mayo Clinic,Business Services,,"Rochester, MN",Company - Private,Consulting,Data Science Analyst - Center for Digital Health - Remote,1926,4.4,"Qualifications
Degree in computer science, engineering, mathematics or equivalent experience
Ability to write clean and maintainable code in an object-oriented language (e.g. Python, Scala, Java)
Experience building data pipelines in a professional setting (e.g. internship) is a plus
Familiarity with analytics libraries (e.g. pandas, numpy, matplotlib), distributed computing frameworks (e.g. Spark, Dask) and cloud platforms (e.g. AWS, Azure, GCP)
Exposure to software engineering concepts and best practices, inc. DevOps, DataOps and MLOps is beneficial
Willingness to travel",10000+ Employees
8,,PCS Global Tech,$10+ billion (USD),,"Irvine, CA",Health Care Services & Hospitals,Health Care,Data Science Opportunities/ Entry Level for Recent Graduates STEM,Nonprofit Organization,4.1,"City
Rochester
State
Minnesota
Telecommute
Yes
Department
Center for Digital Health
Why Mayo Clinic
Mayo Clinic is the nation's best hospital (U.S. News & World Report, 2020-2021) and ranked #1 in more specialties than any other care provider. We have a vast array of opportunities ranging from Nursing, Clinical, to Finance, IT, Administrative, Research and Support Services to name a few. Across all locations, you'll find career opportunities that support diversity, equity and inclusion. At Mayo Clinic, we invest in you with opportunities for growth and development and our benefits and compensation package are highly competitive. We invite you to be a part of our team where you'll discover a culture of teamwork, professionalism, mutual respect, and most importantly, a life-changing career!",10000+ Employees
9,,Facebook,Unknown / Non-Applicable,Employer Provided Salary:$60K,Remote,IT Services,Information Technology,"Data Scientist, Analytics-Remote Presence",Company - Private,4.5,"Responsibilities:
· Provides plan with data, reporting and analyses that enable data driven decision making.
· Provides summary analyses in written and oral presentation settings.
· Builds database from scratch. And prepares complex presentations.
· Develops system test cases and documents results, researches system issues and documents findings.
Requirements:
· Bachelor’s degree in Science, Technology, Engineering or Mathematics
· Ability to translate business requirements into non-technical, lay terms",501 to 1000 Employees
